"title","subtitle","authors","categories","description","published_year","num_pages","average_rating","ratings_count","thumbnail","quantity"
"Alice's Adventures in Wonderland","","Lewis Carroll","British Literature, Children & Young Adult Reading, Classics Of Literature","""Alice's Adventures in Wonderland"" by Lewis Carroll is a children's novel published in 1865. When a curious girl named Alice spots a White Rabbit with a pocket watch, she tumbles down a rabbit hole into an extraordinary fantasy world filled with peculiar anthropomorphic creatures. This pioneering work of literary nonsense plays with logic and language, creating a whimsical tale that delights both children and adults. Illustrated by John Tenniel, it helped transform children's literature from didactic instruction to pure entertainment.",1865,278,4.3,25000,"https://www.gutenberg.org/cache/epub/11/pg11.cover.medium.jpg",6
"Through the Looking-Glass","","Lewis Carroll","Best Books Ever Listings, British Literature, Children & Young Adult Reading","""Through the Looking-Glass"" by Lewis Carroll is a novel published in 1871. When Alice climbs through a mirror into a fantastical world, she discovers everything is reversed—including logic itself. In this chess-themed realm, running keeps you stationary, walking away brings you closer, and nursery-rhyme characters come alive. Alice encounters peculiar beings including the severe Red Queen, quarrelsome twins Tweedledum and Tweedledee, and the opinionated Humpty Dumpty. Like its beloved predecessor, this sequel blends absurdist adventure with unforgettable imagery and phrases that remain part of our language today.",1871,486,4.1,10296,"https://www.gutenberg.org/cache/epub/12/pg12.cover.medium.jpg",7
"The Hunting of the Snark","An Agony in Eight Fits","Lewis Carroll","British Literature, Classics Of Literature, Humour","""The Hunting of the Snark: An Agony in Eight Fits"" by Lewis Carroll is a nonsense poem written between 1874 and 1876. A crew of ten peculiar characters embarks on an absurd quest to hunt the mysterious Snark, guided only by a blank map. Their journey becomes increasingly strange as they encounter fantastical creatures and face a terrifying possibility: the Snark might actually be a deadly Boojum. When one crew member finally discovers their quarry, he vanishes without a trace, confirming their darkest fears.",1898,238,4.6,2273,"https://www.gutenberg.org/cache/epub/13/pg13.cover.medium.jpg",5
"The 1990 CIA World Factbook","","U.S. Central Intelligence Agency","Cia World Factbooks, Economics, Encyclopedias/Dictionaries/Reference","""The 1990 CIA World Factbook"" by the United States Central Intelligence Agency is an information-rich reference book produced for governmental use, published in the late 20th century. It provides detailed statistics and descriptions of countries and territories, including geographical data, demographic information, economic indicators, and political structures, organized for all 249 recognized entities during that period. The beginning of the publication outlines the structure and purpose of the factbook, specifically catering to the needs of U.S. government officials. The introductory sections explain the format and content adjustments made since previous editions, laying a foundation for understanding each included nation's unique features. For instance, the facts provided for countries like Afghanistan, Albania, and Algeria introduce vital statistics about their geography, populations, economies, and government types, highlighting historical contexts such as Afghanistan's civil war and Algeria's reliance on oil exports. This serves as a fundamental resource for policy-making and research related to international relations and comparative studies in the political and economic landscape.",1990,515,4.1,2152,"https://www.gutenberg.org/files/14/cover.jpg",2
"Moby-Dick","or, The Whale","Herman Melville","Adventure, Best Books Ever Listings, American Literature","""Moby-Dick; or, The Whale"" by Herman Melville is an epic novel published in 1851. Sailor Ishmael narrates the obsessive quest of Captain Ahab, who commands the whaling ship Pequod in pursuit of Moby Dick, the white whale that destroyed his leg. Driven by vengeance, Ahab leads his diverse crew across the world's oceans, hunting the legendary creature. This tale of obsession explores themes of good and evil, fate, and humanity's struggle against nature's overwhelming power.",1851,125,4.8,2760,"https://www.gutenberg.org/cache/epub/15/pg15.cover.medium.jpg",4
"Peter Pan","$b [Peter and Wendy]","J. M. Barrie","Adventure, British Literature, Children & Young Adult Reading","""Peter Pan: [Peter and Wendy]"" by J. M. Barrie is a work that began as a play in 1904 and became a novel in 1911. It tells the story of Peter Pan, a mischievous boy who can fly and never grows up. He whisks Wendy Darling and her brothers away to Neverland, a magical island inhabited by mermaids, fairies, and pirates. There, they encounter the Lost Boys and face off against the villainous Captain Hook, all while navigating adventures that blur the line between childhood wonder and danger.",1904,184,4.7,25000,"https://www.gutenberg.org/cache/epub/16/pg16.cover.medium.jpg",4
"The Book of Mormon","$b an account written by the hand of Mormon, upon plates taken from the plates of Nephi","Joseph Smith, Jr., Church of Jesus Christ of Latter-day Saints","Mythology, Legends & Folklore, Religion/Spirituality, Christianity","""The Book of Mormon: an account written by the hand of Mormon, upon plates…"" is a religious text first published in 1830 by Joseph Smith. According to Smith, the book was translated from golden plates revealed by an angel, chronicling ancient peoples led from Jerusalem to the Americas. The text centers on an appearance of Jesus Christ in the Americas after his resurrection, containing teachings on atonement, baptism, and priesthood authority. Its origins remain contested between faith-based and scholarly interpretations.",1830,268,4.1,2404,"https://www.gutenberg.org/cache/epub/17/pg17.cover.medium.jpg",10
"The Federalist Papers","","Alexander Hamilton, John Jay, James Madison","Essays, Letters & Speeches, History - American, Politics","""The Federalist Papers"" by Alexander Hamilton, John Jay, and James Madison is a collection of 85 essays written between 1787-1788. Published under the pseudonym ""Publius,"" these articles aimed to persuade New York voters to ratify the proposed Constitution of the United States. The essays tackle fundamental questions about governance, from preventing tyranny of the majority to establishing checks and balances. They address whether societies can create good government through reason and choice, or must rely on accident and force. This defense of the Constitution became a landmark work in political science.",1804,131,4.6,2621,"https://www.gutenberg.org/cache/epub/18/pg18.cover.medium.jpg",10
"The Song of Hiawatha","","Henry Wadsworth Longfellow","American Literature, Mythology, Legends & Folklore, Poetry","""The Song of Hiawatha"" by Henry Wadsworth Longfellow is an epic poem published in 1855. Written in trochaic tetrameter, it tells the fictional adventures of Ojibwe warrior Hiawatha and his tragic love for Minnehaha, a Dakota woman. Set near Lake Superior's Pictured Rocks, the poem follows Hiawatha from childhood through heroic deeds including slaying an evil magician, inventing written language, and discovering corn. The story culminates with the arrival of Christian missionaries and Hiawatha's mysterious departure westward into the sunset.",1855,295,4.7,2405,"https://www.gutenberg.org/cache/epub/19/pg19.cover.medium.jpg",5
"Paradise Lost","","John Milton","British Literature, Classics Of Literature, Poetry","""Paradise Lost"" by John Milton is an epic poem published in 1667. It retells the biblical story of humanity's fall: Satan's rebellion against God, his expulsion to Hell, and his vengeful plot to corrupt God's newest creation—mankind. Through the temptation of Adam and Eve in the Garden of Eden, Milton explores profound themes of free will, disobedience, and redemption. The poem features one of literature's most complex villains in Satan, while seeking to ""justify the ways of God to men.""",1667,539,4.6,24840,"https://www.gutenberg.org/cache/epub/20/pg20.cover.medium.jpg",9
"Three hundred Aesop’s fables","Translated by George Fyler Townsend","Aesop","Classics Of Literature, Mythology, Legends & Folklore, Aesop'S Fables","""Three Hundred Aesop's Fables"" by Aesop is a collection of fables originating between 620 and 564 BCE. These timeless tales feature talking animals, plants, and humans navigating moral dilemmas and life lessons. Originally part of oral tradition, the stories were collected centuries after Aesop's death and grew to include works from diverse sources across cultures. Each brief narrative offers wisdom through simple scenarios, often concluding with explicit morals that have shaped ethical thinking for millennia.",1995,484,4.5,23000,"https://www.gutenberg.org/cache/epub/21/pg21.cover.medium.jpg",7
"Roget's Thesaurus","","Peter Mark Roget","Encyclopedias/Dictionaries/Reference, Reference, English Language","""Roget's Thesaurus"" by Peter Mark Roget is a reference work first published in 1852. Roget, a British physician and lexicographer, created this revolutionary system of verbal classification to help writers struggling with composition. Rather than arranging words alphabetically, his thesaurus organizes them into six primary classes with over a thousand meaning clusters, grouping words by semantic relationships and conceptual connections. Originally containing 15,000 words, the work has expanded through successive editions while maintaining Roget's foundational organizational system, becoming one of the most widely used English-language reference tools.",1852,362,4.0,2569,"https://www.gutenberg.org/cache/epub/22/pg22.cover.medium.jpg",8
"Narrative of the Life of Frederick Douglass, an American Slave","","Frederick Douglass","African American Writers, Biographies, History - American","""Narrative of the Life of Frederick Douglass, an American Slave"" by Frederick Douglass is a memoir written in 1845. This powerful firsthand account chronicles Douglass's experiences in bondage and his determination to gain freedom. From his early separation from his mother to brutal physical abuse under various masters, Douglass recounts the dehumanizing realities of slavery. His secret pursuit of literacy becomes a turning point, opening his mind to the possibility of escape and fueling his journey toward liberation and self-determination.",1845,337,4.6,25000,"https://www.gutenberg.org/cache/epub/23/pg23.cover.medium.jpg",9
"O Pioneers!","","Willa Cather","American Literature, Novels, Domestic Fiction","""O Pioneers!"" by Willa Cather is a novel published in 1913. It follows Alexandra Bergson, a Swedish-American immigrant who inherits her family's Nebraska farmland and fights to build prosperity on the harsh prairie while neighbors abandon their dreams. As the land transforms under her determination, two forbidden romances unfold—one between Alexandra and an old friend, the other between her brother Emil and a married woman—testing loyalty, passion, and the price of survival in an unforgiving frontier.",1913,285,4.2,1924,"https://www.gutenberg.org/cache/epub/24/pg24.cover.medium.jpg",4
"The 1991 CIA World Factbook","","U.S. Central Intelligence Agency","Cia World Factbooks, Encyclopedias/Dictionaries/Reference, Geography","""The 1991 CIA World Factbook"" by the United States Central Intelligence Agency is a comprehensive scientific publication created during the early 1990s. The material serves as an annual reference for United States government officials, offering detailed statistical information and analysis on various countries and territories around the world, including political, economic, and geographic data. At the start of the Factbook, there is an introduction outlining the purpose and structure of the publication, emphasizing its utility for government officials and the frameworks for the presentation of data. The opening section includes notes on how to search the directory effectively, followed by a detailed table of contents. The introduction stresses the collaborative nature of the information provided, citing numerous agencies that contributed to the Factbook, and it sets the stage for the in-depth analysis of 247 nations and territories that follows. It highlights critical statistics and elements that shape international relations and provides insight into various countries' demographics, economies, governments, and geographic details.",1991,275,4.7,1666,"https://www.gutenberg.org/files/25/cover.jpg",8
"Paradise Lost","","John Milton","British Literature, Classics Of Literature, Poetry","""Paradise Lost"" by John Milton is an epic poem published in 1667. It retells the biblical story of humanity's fall: Satan's rebellion against God, his banishment to Hell, and his vengeful plot to corrupt God's newest creation—mankind. Through the temptation of Adam and Eve in the Garden of Eden, Milton explores themes of free will, obedience, and moral consequence. The poem features one of literature's most complex villains and ends with humanity's expulsion from Paradise, yet offers hope for redemption.",1667,207,4.1,9058,"https://www.gutenberg.org/cache/epub/26/pg26.cover.medium.jpg",8
"Far from the Madding Crowd","","Thomas Hardy","British Literature, Novels, Didactic Fiction","""Far from the Madding Crowd"" by Thomas Hardy is a novel published in 1874. Set in rural Victorian England, it follows independent Bathsheba Everdene as she navigates complex relationships with three very different men: the faithful shepherd Gabriel Oak, the prosperous farmer William Boldwood, and the dashing Sergeant Frank Troy. Against the backdrop of farm life, the story explores themes of love, honour, and betrayal, as Bathsheba's choices lead to unexpected consequences that will test all involved.",1874,428,4.5,1587,"https://www.gutenberg.org/cache/epub/27/pg27.cover.medium.jpg",2
"The Fables of Aesop","Selected, Told Anew, and Their History Traced","Aesop","Children & Young Adult Reading, Classics Of Literature, Mythology, Legends & Folklore","""The Fables of Aesop"" by Aesop is a collection of fables credited to a storyteller who lived in ancient Greece between 620 and 564 BCE. These short tales feature talking animals and plants that teach moral lessons through simple yet profound scenarios. Originally part of oral tradition, the stories were collected centuries after Aesop's death and have been continuously expanded, translated, and reinterpreted across cultures. The fables address ethical, social, and political themes, offering timeless wisdom through humble incidents that reveal great truths about human nature and behavior.",1995,416,4.7,2748,"https://www.gutenberg.org/cache/epub/28/pg28.cover.medium.jpg",3
"The 1990 United States Census","","U.S. Census Bureau","Encyclopedias/Dictionaries/Reference, Reports & Conference Proceedings, Sociology","""The 1990 United States Census"" by the United States Bureau of the Census is a demographic survey conducted in 1990. This nationwide count documented 248,709,873 residents, marking a 9.8 percent population increase from the previous decade. The census introduced new racial categories, including separate classification for Native Hawaiian and Pacific Islander populations. It captured significant demographic shifts, including Los Angeles overtaking Chicago as the nation's second-largest city. The results determined congressional representation and electoral votes for the following decade.",1990,341,4.2,1264,"https://www.gutenberg.org/cache/epub/29/pg29.cover.medium.jpg",7
"The Bible, King James Version, Complete","","Various Authors","History - Ancient, Mythology, Legends & Folklore, Religion/Spirituality","""The Bible, King James Version, Complete"" is an Early Modern English translation commissioned in 1604 and published in 1611 under King James VI and I. This monumental work contains 80 books spanning the Old Testament, Apocrypha, and New Testament. Renowned for its majestic style, it has shaped English literature, Christian thought, and everyday language for over four centuries. Created to serve the Church of England and address concerns about existing translations, it became the dominant English Bible by the eighteenth century and remains among the most widely read translations today.",1604,199,4.0,2411,"https://www.gutenberg.org/cache/epub/30/pg30.cover.medium.jpg",2
"Plays of Sophocles","Oedipus the King; Oedipus at Colonus; Antigone","Sophocles","Best Books Ever Listings, Classics Of Literature, Plays/Films/Dramas","""Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone"" by Sophocles is a collection of classic Greek tragedies likely written in the 5th century BC. The central themes explore fate, free will, and the tragic consequences of human actions, revolving mainly around the lives of Oedipus and his family, highlighting his fall from grace and the ensuing curses that plague his lineage. The opening of ""Oedipus the King"" sets the stage in Thebes, where King Oedipus learns about a devastating plague afflicting his city. As he vows to find the cause, he is determined to uncover the truth, leading him down a path of self-discovery and horrifying realizations about his identity and past. The characters introduced, including the priest, Creon, and the blind seer Teiresias, foreshadow the tragic unraveling of Oedipus's life, particularly as themes of hubris and fate begin to prevail, laying the groundwork for the unfolding tragedy. The pleads of the Theban citizens highlight the desperation of those under Oedipus’s reign, marking him as both a capable but ultimately doomed leader.",-406,256,4.0,3178,"https://www.gutenberg.org/cache/epub/31/pg31.cover.medium.jpg",8
"Herland","","Charlotte Perkins Gilman","Best Books Ever Listings, American Literature, Gender & Sexuality Studies","""Herland"" by Charlotte Perkins Gilman is a feminist utopian novel written in 1915. Three male explorers discover an isolated society composed entirely of women who reproduce without men. What they find challenges every assumption they hold about gender, civilization, and human nature. As the men learn the language and customs of this all-female utopia—free of war, conflict, and domination—they must confront their own prejudices about what women should be, leading to revelations that test their understanding of society itself.",1915,304,4.4,2267,"https://www.gutenberg.org/cache/epub/32/pg32.cover.medium.jpg",2
"The Scarlet Letter","","Nathaniel Hawthorne","American Literature, Classics Of Literature, Novels","""The Scarlet Letter"" by Nathaniel Hawthorne is a historical novel published in 1850. Set in Puritan Massachusetts during the 1640s, it follows Hester Prynne, who bears a child outside marriage and must wear a scarlet ""A"" as punishment for adultery. While Hester refuses to name the father, her long-lost husband arrives in disguise, vowing revenge. The story explores sin, guilt, and redemption as secrets threaten to destroy lives in this unforgiving community.",1850,314,4.8,2676,"https://www.gutenberg.org/cache/epub/33/pg33.cover.medium.jpg",4
"Zen and the Art of the Internet","","Brendan P. Kehoe","How To ..., Research Methods/Statistics/Information Sys, Computer Networks","""Zen and the Art of the Internet"" by Brendan P. Kehoe is a beginner's guide to navigating the Internet, written in the early 1990s. This practical manual aims to familiarize novice users with the various functions and features of the Internet, offering insight into both its potential and its complexities as a communication tool. The opening of the guide introduces readers to the purpose of the text, which is to serve as both a reference for quick queries and a foundational resource for exploring the Internet. It emphasizes that the material is designed to be broadly applicable and not tied to any specific operating system. The text addresses the great expanse of information accessible via the Internet and cautions users about the time-consuming nature of online exploration. Specific terms, such as email addresses and domain names, are briefly explained, providing a glimpse into the foundational knowledge that the guide will cover in greater depth.",2011,457,4.5,2274,"https://www.gutenberg.org/cache/epub/34/pg34.cover.medium.jpg",5
"The Time Machine","","H. G. Wells","British Literature, Novels, Science-Fiction & Fantasy","""The Time Machine"" by H. G. Wells is a science fiction novella published in 1895. A Victorian scientist known as the Time Traveller journeys to the year 802,701, where he discovers humanity has evolved into two distinct species: the childlike Eloi and the savage Morlocks. This groundbreaking work popularized the concept of time travel and coined the term ""time machine."" Wells crafts a haunting vision of the future that explores class divisions and social inequality, taking readers on an unforgettable adventure through time's darkest possibilities.",1895,423,4.0,11167,"https://www.gutenberg.org/cache/epub/35/pg35.cover.medium.jpg",9
"The war of the worlds","","H. G. Wells","British Literature, Classics Of Literature, Novels","""The War of the Worlds"" by H. G. Wells is a science fiction novel written between 1895 and 1897. When Martians with superior intelligence and advanced weapons invade Earth, humanity faces extinction. The extraterrestrials emerge from metal cylinders, wielding devastating heat rays and toxic chemical weapons as they methodically destroy England's defenses. An unnamed narrator struggles to survive the carnage and reunite with his wife while civilization collapses around him. One of the earliest alien invasion stories, Wells's novel explores humanity's vulnerability against an unstoppable force.",1946,123,4.2,8945,"https://www.gutenberg.org/cache/epub/36/pg36.cover.medium.jpg",8
"The 1990 United States Census [2nd]","","U.S. Census Bureau","Encyclopedias/Dictionaries/Reference, Reports & Conference Proceedings, Housing","""The 1990 United States Census"" by the United States Bureau of the Census is a scientific publication that presents comprehensive demographic data collected during the 1990 census, likely written in the early 1990s. This document aims to provide insights into the population characteristics of the United States, detailing various statistics related to regions, states, and demographic components such as age, race, and household types. The opening of the census report introduces the geographic regions defined according to the census, which are the Northeast, South, Midwest, and West. It includes a breakdown of the population estimates across these regions, along with specific data for individual states. Following this introduction, various tables present detailed statistics regarding the total populations, demographics such as sex and age distribution, and household information, illustrating the structured and methodical approach taken to analyze the nation’s population. Each section is dense with numerical data, serving as a vital resource for researchers, policymakers, and anyone interested in understanding the social and demographic trends of the early 1990s.",1990,165,4.2,1272,"https://www.gutenberg.org/cache/epub/37/pg37.cover.medium.jpg",2
"The Jargon File, Version 2.9.10, 01 Jul 1992","","Various","Encyclopedias/Dictionaries/Reference, Engineering & Technology, Humour","""The Jargon File, Version 2.9.10, 01 Jul 1992"" by Eric S. Raymond and Guy L. Steele is a glossary and usage dictionary published in 1992. Born from the slang of MIT and Stanford AI labs in the 1970s, this collection captures the colorful language of early computer programmers and hackers. Through decades of evolution, it transformed from a living document into a legendary chronicle of hacker culture, preserving terms and philosophies that shaped the digital revolution and influenced generations of programmers worldwide.",1992,165,4.3,1430,"https://www.gutenberg.org/cache/epub/38/pg38.cover.medium.jpg",2
"Hitchhiker's Guide to the Internet","","Ed Krol","Engineering & Technology, How To ..., Computer Networks","""The Hitchhiker's Guide to the Internet"" by Ed Krol is a practical guidebook aimed at those familiar with local area networks, written during the late 1980s. This comprehensive manual provides insight into the structure, protocols, and operations of the emerging Internet, serving as an essential resource for networking professionals and enthusiasts looking to connect their systems to the wider Internet. The book's content is reflective of an era when the Internet was transitioning from experimental networks to a more interconnected global framework. The book covers a vast range of topics essential for understanding the Internet's functionality, starting from its historical context with the ARPAnet and leading to the complexities of network protocols, addressing, and domain name services. Krol explains critical concepts such as RFCs (Request for Comments), addressing allocation, and the role of various entities like the Network Information Center (NIC). The guide is both informative and technical, providing detailed procedures for network operation, troubleshooting, and effective use of Internet resources, making it a valuable resource for those entering the field of computer networking amidst the rapid evolution of digital communications.",1995,368,4.5,1247,"https://www.gutenberg.org/cache/epub/39/pg39.cover.medium.jpg",5
"NorthWestNet User Services Internet Resource Guide (NUSIRG)","","Jonathan Kochmer","Research Methods/Statistics/Information Sys, Teaching & Education, Internet","""NORTHWESTNET USER SERVICES INTERNET RESOURCE GUIDE (NUSIRG)"" by Jonathan Kochmer is a technical guide created in the early 1990s. The guide serves as a comprehensive resource for users of the NorthWestNet indexing various internet services, policies, and user support systems tied to the network. It is primarily aimed at individuals affiliated with the NorthWestNet network, including academics, researchers, and members of the education community. The beginning of the guide lays out essential information on how users can access the NUSIRG for free via the File Transfer Protocol (FTP) or purchase a printed version. It details instructions for using FTP to obtain the guide and mentions the availability of various file formats. Furthermore, it highlights the NorthWestNet's mission, emphasizing education, research, and the expansion of network connectivity in the region through programs, training, and user support. The initial pages provide an overview of the structure and content of the guide, leading into sections that cover acceptable use policies and the operations of the network's services.",1995,352,4.2,778,"https://www.gutenberg.org/cache/epub/40/pg40.cover.medium.jpg",6
"The Legend of Sleepy Hollow","","Washington Irving","American Literature, Mythology, Legends & Folklore, Short Stories","""The Legend of Sleepy Hollow"" by Washington Irving is a short story written in 1820. Set in 1790 in a secluded glen near Tarrytown, it follows Ichabod Crane, a superstitious schoolmaster who competes with local rowdy Brom Bones for the affections of wealthy Katrina Van Tassel. After a harvest party filled with ghost stories about a Headless Horseman, Ichabod encounters a terrifying cloaked rider on his journey home. The next morning, he has vanished, leaving only mysterious clues behind.",1820,487,4.3,25000,"https://www.gutenberg.org/cache/epub/41/pg41.cover.medium.jpg",2
"The strange case of Dr. Jekyll and Mr. Hyde","","Robert Louis Stevenson","British Literature, Classics Of Literature, Crime, Thrillers And Mystery","""The Strange Case of Dr. Jekyll and Mr. Hyde"" by Robert Louis Stevenson is a Gothic horror novella published in 1886. When London lawyer Gabriel John Utterson investigates strange occurrences involving his old friend Dr. Henry Jekyll and a murderous criminal named Edward Hyde, he uncovers a disturbing mystery. This defining work of Gothic horror explores the duality of human nature, examining how good and evil can intertwine within a single person. The story's impact endures today, with ""Jekyll and Hyde"" becoming synonymous with those who possess hidden, shocking darkness.",1886,226,4.6,25000,"https://www.gutenberg.org/cache/epub/42/pg42.cover.medium.jpg",5
"The strange case of Dr. Jekyll and Mr. Hyde","","Robert Louis Stevenson","British Literature, Classics Of Literature, Crime, Thrillers And Mystery","""The Strange Case of Dr. Jekyll and Mr. Hyde"" by Robert Louis Stevenson is a Gothic horror novella published in 1886. When London lawyer Gabriel John Utterson investigates strange occurrences involving his old friend Dr. Henry Jekyll and a murderous criminal named Edward Hyde, he uncovers a disturbing mystery. This defining work of Gothic horror explores the duality of human nature and has profoundly influenced popular culture, making ""Jekyll and Hyde"" synonymous with hidden evil beneath respectable appearances.",1886,380,4.3,25000,"https://www.gutenberg.org/cache/epub/43/pg43.cover.medium.jpg",7
